Kernel,GPU,gridSize,blockSize,nThreads,Length,Iterations,experiments,GFLOPS,totalBytes,bandwidth,AI_HBM_ADD_INT8,AI_HBM_ADD_INT16,AI_HBM_ADD_INT32,AI_HBM_ADD_INT64,AI_HBM_ADD_FP16,AI_HBM_ADD_FP32,AI_HBM_ADD_FP64,AI_HBM_MUL_INT8,AI_HBM_MUL_INT16,AI_HBM_MUL_INT32,AI_HBM_MUL_INT64,AI_HBM_MUL_FP16,AI_HBM_MUL_FP32,AI_HBM_MUL_FP64,AI_HBM_MULADD_INT8,AI_HBM_MULADD_INT16,AI_HBM_MULADD_INT32,AI_HBM_MULADD_INT64,AI_HBM_MULADD_FP16,AI_HBM_MULADD_FP32,AI_HBM_MULADD_FP64,AI_HBM_DIV_INT8,AI_HBM_DIV_INT16,AI_HBM_DIV_INT32,AI_HBM_DIV_INT64,AI_HBM_DIV_FP16,AI_HBM_DIV_FP32,AI_HBM_DIV_FP64,AI_HBM_RSQ_INT8,AI_HBM_RSQ_INT16,AI_HBM_RSQ_INT32,AI_HBM_RSQ_INT64,AI_HBM_RSQ_FP16,AI_HBM_RSQ_FP32,AI_HBM_RSQ_FP64,AverageSec,PERF,STDDEV,CI
Test,H100,256,16384,4194304,268435456,1,10,0.268435,1073741824,2797,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383891,699.25,1.08187,0.670548
Test,H100,256,16384,4194304,134217728,1,10,0.134218,1073741824,2799.49,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383549,349.937,0.471021,0.291942
Test,H100,256,16384,4194304,268435456,1,10,0.268435,1073741824,2797.67,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383798,699.42,1.29252,0.80111
Test,H100,256,16384,4194304,134217728,1,10,0.134218,1073741824,2797.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383837,349.675,0.542386,0.336174
Test,H100,256,16384,4194304,268435456,1,10,0.536871,1073741824,2795.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384064,1397.87,2.86514,1.77583
Test,H100,256,16384,4194304,134217728,1,10,0.268435,1073741824,2799.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3836,699.781,1.10748,0.686421
Test,H100,256,16384,4194304,268435456,1,10,0.268435,1073741824,2048.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.524083,512.201,0.659715,0.408895
Test,H100,256,16384,4194304,134217728,1,10,0.134218,1073741824,2759.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.38912,344.927,0.499243,0.309434
Test,H100,256,16384,4194304,268435456,1,10,0.536871,2147483648,2450.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.876358,612.616,0.380144,0.235616
Test,H100,256,16384,4194304,134217728,1,10,0.268435,2147483648,2855.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.752096,356.917,0.40407,0.250445
Test,H100,256,16384,4194304,268435456,2,10,0.536871,1073741824,2797,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383891,1398.5,1.81817,1.12691
Test,H100,256,16384,4194304,134217728,2,10,0.268435,1073741824,2796.62,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383942,699.158,1.39243,0.863038
Test,H100,256,16384,4194304,268435456,2,10,0.536871,1073741824,2796.67,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383936,1398.34,3.02425,1.87445
Test,H100,256,16384,4194304,134217728,2,10,0.268435,1073741824,2799.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383546,699.88,0.741051,0.459308
Test,H100,256,16384,4194304,268435456,2,10,1.07374,1073741824,2795.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384083,2795.61,6.1643,3.82067
Test,H100,256,16384,4194304,134217728,2,10,0.536871,1073741824,2800.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383459,1400.08,2.52285,1.56368
Test,H100,256,16384,4194304,268435456,2,10,0.536871,1073741824,1891.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.567782,945.559,1.12401,0.696668
Test,H100,256,16384,4194304,134217728,2,10,0.268435,1073741824,2614.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.410643,653.697,1.04418,0.64719
Test,H100,256,16384,4194304,268435456,2,10,1.07374,2147483648,2426.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.885165,1213.04,1.06714,0.661418
Test,H100,256,16384,4194304,134217728,2,10,0.536871,2147483648,2850.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.753293,712.7,0.74399,0.46113
Test,H100,256,16384,4194304,268435456,4,10,1.07374,1073741824,2795.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38409,2795.56,3.80161,2.35626
Test,H100,256,16384,4194304,134217728,4,10,0.536871,1073741824,2792.01,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384576,1396.01,1.38568,0.858853
Test,H100,256,16384,4194304,268435456,4,10,1.07374,1073741824,2792.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384467,2792.81,4.14958,2.57193
Test,H100,256,16384,4194304,134217728,4,10,0.536871,1073741824,2790.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384717,1395.51,4.20203,2.60445
Test,H100,256,16384,4194304,268435456,4,10,2.14748,1073741824,2792.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384522,5584.84,10.4127,6.45385
Test,H100,256,16384,4194304,134217728,4,10,1.07374,1073741824,2791.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384592,2791.91,5.38314,3.33651
Test,H100,256,16384,4194304,268435456,4,10,1.07374,1073741824,1443.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.743811,1443.57,1.7434,1.08057
Test,H100,256,16384,4194304,134217728,4,10,0.536871,1073741824,1905.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.563459,952.813,0.544311,0.337368
Test,H100,256,16384,4194304,268435456,4,10,2.14748,2147483648,2372.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.905014,2372.87,1.1266,0.698274
