Kernel,GPU,gridSize,blockSize,nThreads,Length,Iterations,experiments,GFLOPS,totalBytes,AI_HBM_ADD_INT8,AI_HBM_ADD_INT16,AI_HBM_ADD_INT32,AI_HBM_ADD_INT64,AI_HBM_ADD_FP16,AI_HBM_ADD_FP32,AI_HBM_ADD_FP64,AI_HBM_MUL_INT8,AI_HBM_MUL_INT16,AI_HBM_MUL_INT32,AI_HBM_MUL_INT64,AI_HBM_MUL_FP16,AI_HBM_MUL_FP32,AI_HBM_MUL_FP64,AI_HBM_MULADD_INT8,AI_HBM_MULADD_INT16,AI_HBM_MULADD_INT32,AI_HBM_MULADD_INT64,AI_HBM_MULADD_FP16,AI_HBM_MULADD_FP32,AI_HBM_MULADD_FP64,AI_HBM_DIV_INT8,AI_HBM_DIV_INT16,AI_HBM_DIV_INT32,AI_HBM_DIV_INT64,AI_HBM_DIV_FP16,AI_HBM_DIV_FP32,AI_HBM_DIV_FP64,AI_HBM_RSQ_INT8,AI_HBM_RSQ_INT16,AI_HBM_RSQ_INT32,AI_HBM_RSQ_INT64,AI_HBM_RSQ_FP16,AI_HBM_RSQ_FP32,AI_HBM_RSQ_FP64,AverageSec,PERF,STDDEV,CI
Test,MI250X,256,16384,4194304,1073741824,1,3626,1.07374,2147483648,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49026,195.607,2.63908,0.0859005
Test,MI250X,256,16384,4194304,536870912,1,5782,0.536871,2147483648,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45243,155.508,0.634356,0.0163512
Test,MI250X,256,16384,4194304,268435456,1,7987,0.268435,2147483648,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50202,107.291,0.604662,0.013261
Test,MI250X,256,16384,4194304,134217728,1,9353,0.134218,2147483648,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13324,62.9192,0.318748,0.00645993
Test,MI250X,256,16384,4194304,536870912,1,5727,0.536871,2147483648,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49312,153.696,0.629075,0.0162928
Test,MI250X,256,16384,4194304,268435456,1,20851,0.268435,1073741824,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958634,280.042,2.45163,0.0332772
Test,MI250X,256,16384,4194304,134217728,1,9138,0.134218,2147483648,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19383,61.1815,0.316573,0.00649089
Test,MI250X,256,16384,4194304,1073741824,1,3664,1.07374,2147483648,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47838,196.032,2.65272,0.0858953
Test,MI250X,256,16384,4194304,536870912,1,5805,0.536871,2147483648,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45201,155.527,0.625415,0.0160888
Test,MI250X,256,16384,4194304,268435456,1,7988,0.268435,2147483648,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50202,107.291,0.616407,0.0135177
Test,MI250X,256,16384,4194304,134217728,1,9382,0.134218,2147483648,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13116,62.9804,0.347342,0.00702854
Test,MI250X,256,16384,4194304,536870912,1,5708,0.536871,2147483648,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4928,153.71,0.618135,0.016036
Test,MI250X,256,16384,4194304,268435456,1,20819,0.268435,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958744,280.007,2.44456,0.0332067
Test,MI250X,256,16384,4194304,134217728,1,9113,0.134218,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19421,61.1712,0.315418,0.00647608
Test,MI250X,256,16384,4194304,1073741824,1,3717,2.14748,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38426,398.92,5.47719,0.176083
Test,MI250X,256,16384,4194304,536870912,1,5717,1.07374,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50184,306.627,1.30355,0.033791
Test,MI250X,256,16384,4194304,268435456,1,7725,0.536871,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59355,207.012,1.42714,0.0318254
Test,MI250X,256,16384,4194304,134217728,1,9030,0.268435,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21023,121.455,0.621667,0.0128224
Test,MI250X,256,16384,4194304,536870912,1,5680,1.07374,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51235,305.71,1.27444,0.0331437
Test,MI250X,256,16384,4194304,268435456,1,20831,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961862,558.204,4.88102,0.0662844
Test,MI250X,256,16384,4194304,134217728,1,9056,0.268435,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20805,121.575,0.633804,0.013054
Test,MI250X,256,16384,4194304,1073741824,1,3318,1.07374,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05199,177.429,1.32314,0.0450219
Test,MI250X,256,16384,4194304,536870912,1,5501,0.536871,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,3.62877,147.951,0.541653,0.0143139
Test,MI250X,256,16384,4194304,268435456,1,7447,0.268435,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,2.69427,99.6391,0.834212,0.0189471
Test,MI250X,256,16384,4194304,134217728,1,9057,0.134218,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,2.20284,60.9306,0.246727,0.00508138
Test,MI250X,256,16384,4194304,536870912,1,5601,0.536871,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,3.57383,150.225,0.571226,0.01496
Test,MI250X,256,16384,4194304,268435456,1,7442,0.268435,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,2.68522,99.9756,0.891636,0.0202581
Test,MI250X,256,16384,4194304,134217728,1,9082,0.134218,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,2.19619,61.1156,0.281035,0.00577998
Test,MI250X,256,16384,4194304,1073741824,1,3209,2.14748,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.23163,344.619,1.69964,0.0588068
Test,MI250X,256,16384,4194304,536870912,1,5526,1.07374,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,3.61983,296.63,0.987534,0.0260377
Test,MI250X,256,16384,4194304,268435456,1,7418,0.536871,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2.70145,198.748,1.65869,0.0377465
